 ,First Film,Second Film,Third Film,Non-Reviewed / Extra Videos,Gimmick,,Mike,Jay,Rich,Jack,Josh,Jessi,Guests,Editor,,Best of the Worst,Unanimous Win,Worst of the Worst,Method of Destruction,,YouTube Links,Length,Date Released
1,Russian Terminator,Ninja Vengeance,Never Too Young to Die,,X,,✓,✓,X,X,✓,✓,X,Mike,,Russian Terminator,X,Ninja Vengeance,Cinder block dropped on,,Episode 1,0:32:20,01/23/2013
2,The New Gladiators,Exterminator 2,The Aftermath,,X,,X,✓,✓,✓,✓,X,X,Mike,,The Aftermath,X,Exterminator 2,No Destruction,,Episode 2,0:31:21,02/01/2013
3,The Killer Eye,They Bite,Xtro,,X,,✓,X,X,✓,✓,✓,X,Jay,,Xtro,✓,They Bite,Blown up,,Episode 3,0:31:08,02/21/2013
4,Deadly Prey,Hard Ticket to Hawaii,Miami Connection,,X,,X,✓,✓,✓,✓,X,X,Jay,,Miami Connection,X,None,No Destruction,,Episode 4,0:41:15,04/12/2013
5,Candid Candid Camera Vol. 6,Let's Rap Fire Safety,The Dance of Birth,,Wheel of the Worst,,✓,✓,✓,X,X,✓,X,Not Listed,,None,N/A,Candid Candid Camera Vol. 6,Lit on fire (Along with Dance of Birth),,Episode 5,0:29:07,05/06/2013
6,Robot Jox,R.O.T.O.R.,The Vindicator (sort of),Cyber Tracker,X,,X,✓,✓,✓,✓,X,X,Jay,,None,N/A,Cyber Tracker,Spinning disk thrown against cinder block,,Episode 6,0:45:24,05/22/2013
7,Playing Dangerous,Shapeshifter,Thunderpants,,X,,✓,✓,✓,X,X,✓,X,Jay,,Thunderpants,X,Playing Dangerous,Put in toilet and dropped from ladder,,Episode 7,0:35:42,06/03/2013
8,Key Matters,Gary Coleman For Safety's Sake,The Family Guide to the Internet,,Wheel of the Worst,,✓,X,✓,✓,✓,X,X,Not Listed,,Gary Coleman For Safety's Sake,X,Key Matters,Dragged behind car,,Episode 8,0:32:30,08/11/2013
9,V-World Matrix,The Amazing Bulk,Gymkata,,X,,✓,✓,✓,X,X,X,Colin from Canada,Jay,,Gymkata,✓,The Amazing Bulk,Shot in horrible CGI fashion,,Episode 9,0:38:15,09/01/2013
10,Bloody Birthday,Crazy Fat Ethel II,Psycho from Texas,,X,,✓,✓,X,✓,X,X,Gillian,Jay,,Crazy Fat Ethel II / Bloody Birthday,X,Psycho from Texas,Stripped and have beer poured on,,Episode 10,0:42:31,09/23/2013
11,Night Beast,Trick or Treat,Skull Forest,,Halloween Episode,,✓,✓,✓,✓,X,X,X,Mike,,Skull Forest,X,Night Beast,Sawn in half with reciprocating saw,,Episode 11,0:48:17,11/05/2013
12,Tree Stand Safety,Where Did I Come From?,Incredible Instant Adoring Boyfriend,,Wheel of the Worst,,✓,✓,✓,X,X,✓,X,Mike,,Where Did I Come From? / Instant Adoring Boyfriend,X,Tree Stand Safety,Lit on fire,,Episode 12,0:33:26,11/29/2013
13,Playing Dangerous 2,The Exterminator,The Deadliest Prey,,X,,X,✓,✓,✓,✓,X,X,Jay,,The Deadliest Prey,✓,Playing Dangerous 2,Shot in shooting range,,Episode 13,0:41:39,12/05/2013
14,Elves,Santa Claus,Christmas Vacation 2,,Christmas Episode,,✓,X,✓,✓,X,✓,X,Not Listed,,Elves (Thanks to offscreen vote from Jay),X,Christmas Vacation 2,Shredded and mailed to Warner Bros.,,Episode 14,0:53:39,12/27/2013
