Title,Type,URL1,URL2,URL3
Russian Terminator,X,,,
Ninja Vengeance,X,,,
Never Too Young to Die,X,https://www.kanopy.com/product/never-too-young-die,https://www.shoutfactorytv.com/never-too-young-to-die-vhs-vault/58b60a5fe43f9014b6004c25,https://watch.plex.tv/movie/never-too-young-to-die?autoplay=1&utm_content=5d776854880197001ec98c77&utm_medium=deeplink&utm_source=justWatch-catalog
The New Gladiators,X,https://watch.plex.tv/movie/i-guerrieri-dellanno-2072?autoplay=1&utm_content=5d776d1196b655001fe3e4fc&utm_medium=deeplink&utm_source=justWatch-catalog,https://watch.plex.tv/embed/movie/i-guerrieri-dellanno-2072?autoplay=1&referrer=JustWatch,https://www.cineverse.com/details/63e0a5816a2b7e2c855ef781/warriors-of-the-year-2072
Exterminator 2,X,https://tubitv.com/movies/100001031?utm_source=justwatch-feed&tracking=justwatch-feed,https://watch.plex.tv/embed/movie/i-guerrieri-dellanno-2072?autoplay=1&referrer=JustWatch,https://www.cineverse.com/details/63e0a5816a2b7e2c855ef781/warriors-of-the-year-2072
The Aftermath,X,https://watch.plex.tv/movie/the-aftermath?autoplay=1&utm_content=5d776883fb0d55001f512945&utm_medium=deeplink&utm_source=justWatch-catalog,https://watch.plex.tv/embed/movie/the-aftermath?autoplay=1&referrer=JustWatch,https://watch.amazon.com/detail?gti=amzn1.dv.gti.1eb90899-2f70-3429-4e92-0e9536c1aa15
The Killer Eye,X,https://tubitv.com/movies/487262?utm_source=justwatch-feed&tracking=justwatch-feed,https://pluto.tv/on-demand/movies/the-killer-eye-1999-1-1?utm_medium=deeplink&utm_source=justwatch,https://watch.amazon.com/detail?gti=amzn1.dv.gti.1eb90899-2f70-3429-4e92-0e9536c1aa15
They Bite,X,,https://pluto.tv/on-demand/movies/the-killer-eye-1999-1-1?utm_medium=deeplink&utm_source=justwatch,https://watch.amazon.com/detail?gti=amzn1.dv.gti.1eb90899-2f70-3429-4e92-0e9536c1aa15
Xtro,X,,https://pluto.tv/on-demand/movies/the-killer-eye-1999-1-1?utm_medium=deeplink&utm_source=justwatch,https://watch.amazon.com/detail?gti=amzn1.dv.gti.1eb90899-2f70-3429-4e92-0e9536c1aa15
Deadly Prey,X,https://tubitv.com/movies/100004607?utm_source=justwatch-feed&tracking=justwatch-feed,https://filmrise.com,https://watch.amazon.com/detail?gti=amzn1.dv.gti.1eb90899-2f70-3429-4e92-0e9536c1aa15
Hard Ticket to Hawaii,X,https://watch.plex.tv/movie/hard-ticket-to-hawaii?autoplay=1&utm_content=5d776850103a2d001f56d367&utm_medium=deeplink&utm_source=justWatch-catalog,https://watch.plex.tv/embed/movie/hard-ticket-to-hawaii?autoplay=1&referrer=JustWatch,https://tubitv.com/movies/646725?utm_source=justwatch-feed&tracking=justwatch-feed
Miami Connection,X,https://watch.plex.tv/movie/miami-connection?autoplay=1&utm_content=5d77689ead5437001f74b1da&utm_medium=deeplink&utm_source=justWatch-catalog,https://watch.plex.tv/embed/movie/miami-connection?autoplay=1&referrer=JustWatch,https://therokuchannel.roku.com/details/661f667dd04b585796dae54ee36cc31b/miami-connection?source=bing
Candid Candid Camera Vol. 6,Wheel of the Worst,,https://watch.plex.tv/embed/movie/miami-connection?autoplay=1&referrer=JustWatch,https://therokuchannel.roku.com/details/661f667dd04b585796dae54ee36cc31b/miami-connection?source=bing
Let's Rap Fire Safety,Wheel of the Worst,,https://watch.plex.tv/embed/movie/miami-connection?autoplay=1&referrer=JustWatch,https://therokuchannel.roku.com/details/661f667dd04b585796dae54ee36cc31b/miami-connection?source=bing
The Dance of Birth,Wheel of the Worst,,https://watch.plex.tv/embed/movie/miami-connection?autoplay=1&referrer=JustWatch,https://therokuchannel.roku.com/details/661f667dd04b585796dae54ee36cc31b/miami-connection?source=bing
Robot Jox,X,https://therokuchannel.roku.com/details/b39b65250475582798291ff7a116fd0e/robot-jox?source=bing,https://tubitv.com/movies/560191?utm_source=justwatch-feed&tracking=justwatch-feed,https://therokuchannel.roku.com/details/661f667dd04b585796dae54ee36cc31b/miami-connection?source=bing
R.O.T.O.R.,X,https://tubitv.com/movies/100014246?utm_source=justwatch-feed&tracking=justwatch-feed,https://tubitv.com/movies/560191?utm_source=justwatch-feed&tracking=justwatch-feed,https://therokuchannel.roku.com/details/661f667dd04b585796dae54ee36cc31b/miami-connection?source=bing
The Vindicator (sort of),X,,https://tubitv.com/movies/560191?utm_source=justwatch-feed&tracking=justwatch-feed,https://therokuchannel.roku.com/details/661f667dd04b585796dae54ee36cc31b/miami-connection?source=bing
Cyber Tracker,X,https://watch.amazon.com/detail?gti=amzn1.dv.gti.e0ac2a50-b8ed-51c6-8b3a-75bde1ed8c19,https://tubitv.com/movies/560191?utm_source=justwatch-feed&tracking=justwatch-feed,https://therokuchannel.roku.com/details/661f667dd04b585796dae54ee36cc31b/miami-connection?source=bing
Playing Dangerous,X,,https://tubitv.com/movies/560191?utm_source=justwatch-feed&tracking=justwatch-feed,https://therokuchannel.roku.com/details/661f667dd04b585796dae54ee36cc31b/miami-connection?source=bing
Shapeshifter,X,https://watch.plex.tv/movie/shapeshifter?autoplay=1&utm_content=5d776a2d7a53e9001e6fc866&utm_medium=deeplink&utm_source=justWatch-catalog,https://watch.plex.tv/embed/movie/shapeshifter?autoplay=1&referrer=JustWatch,https://tubitv.com/movies/100000109?utm_source=justwatch-feed&tracking=justwatch-feed
Thunderpants,X,,https://watch.plex.tv/embed/movie/shapeshifter?autoplay=1&referrer=JustWatch,https://tubitv.com/movies/100000109?utm_source=justwatch-feed&tracking=justwatch-feed
Key Matters,Wheel of the Worst,,https://watch.plex.tv/embed/movie/shapeshifter?autoplay=1&referrer=JustWatch,https://tubitv.com/movies/100000109?utm_source=justwatch-feed&tracking=justwatch-feed
Gary Coleman For Safety's Sake,Wheel of the Worst,,https://watch.plex.tv/embed/movie/shapeshifter?autoplay=1&referrer=JustWatch,https://tubitv.com/movies/100000109?utm_source=justwatch-feed&tracking=justwatch-feed
The Family Guide to the Internet,Wheel of the Worst,,https://watch.plex.tv/embed/movie/shapeshifter?autoplay=1&referrer=JustWatch,https://tubitv.com/movies/100000109?utm_source=justwatch-feed&tracking=justwatch-feed
V-World Matrix,X,,https://watch.plex.tv/embed/movie/shapeshifter?autoplay=1&referrer=JustWatch,https://tubitv.com/movies/100000109?utm_source=justwatch-feed&tracking=justwatch-feed
The Amazing Bulk,X,https://watch.plex.tv/movie/the-amazing-bulk?autoplay=1&utm_content=5d776925594b2b001e69e35a&utm_medium=deeplink&utm_source=justWatch-catalog,https://watch.plex.tv/embed/movie/the-amazing-bulk?autoplay=1&referrer=JustWatch,https://www.vudu.com/content/movies/details/The-Amazing-Bulk/346545
Gymkata,X,,https://watch.plex.tv/embed/movie/the-amazing-bulk?autoplay=1&referrer=JustWatch,https://www.vudu.com/content/movies/details/The-Amazing-Bulk/346545
Bloody Birthday,X,https://tubitv.com/movies/490131?utm_source=justwatch-feed&tracking=justwatch-feed,https://watch.plex.tv/embed/movie/the-amazing-bulk?autoplay=1&referrer=JustWatch,https://www.vudu.com/content/movies/details/The-Amazing-Bulk/346545
Crazy Fat Ethel II,X,,https://watch.plex.tv/embed/movie/the-amazing-bulk?autoplay=1&referrer=JustWatch,https://www.vudu.com/content/movies/details/The-Amazing-Bulk/346545
Psycho from Texas,X,,https://watch.plex.tv/embed/movie/the-amazing-bulk?autoplay=1&referrer=JustWatch,https://www.vudu.com/content/movies/details/The-Amazing-Bulk/346545
Night Beast,Halloween Episode,https://watch.plex.tv/movie/nightbeast?autoplay=1&utm_content=5d7768aadecfcd001f2efa32&utm_medium=deeplink&utm_source=justWatch-catalog,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
Trick or Treat,Halloween Episode,,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
Skull Forest,Halloween Episode,https://tubitv.com/movies/655283?utm_source=justwatch-feed&tracking=justwatch-feed,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
Tree Stand Safety,Wheel of the Worst,,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
Where Did I Come From?,Wheel of the Worst,,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
Incredible Instant Adoring Boyfriend,Wheel of the Worst,,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
Playing Dangerous 2,X,,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
The Exterminator,X,https://watch.amazon.com/detail?gti=amzn1.dv.gti.79c04ccc-5dae-427a-a423-e2a0cb2d2358,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
The Deadliest Prey,X,,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
Elves,Christmas Episode,,https://watch.plex.tv/embed/movie/nightbeast?autoplay=1&referrer=JustWatch,https://www.peacocktv.com/watch/asset/movies/nightbeast/1a98ed56-f108-30f2-92a3-cb76638eb868
Santa Claus,Christmas Episode,https://watch.plex.tv/movie/santa-claus-1959?autoplay=1&utm_content=5d776d14ad5437001f7cc69a&utm_medium=deeplink&utm_source=justWatch-catalog,https://watch.plex.tv/embed/movie/santa-claus-1959?autoplay=1&referrer=JustWatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Christmas Vacation 2,Christmas Episode,,https://watch.plex.tv/embed/movie/santa-claus-1959?autoplay=1&referrer=JustWatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Robo-C.H.I.C.,X,,https://watch.plex.tv/embed/movie/santa-claus-1959?autoplay=1&referrer=JustWatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Alien Seed,X,,https://watch.plex.tv/embed/movie/santa-claus-1959?autoplay=1&referrer=JustWatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Yor: The Hunter From the Future,X,https://therokuchannel.roku.com/details/413d35b629d570f7fe6ba4621b27aaec/rifftrax-yor-hunter-from-the-future?source=bing,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Kitten Komotion,Wheel of the Worst,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Dunkin' Donuts: Finishing Video,Wheel of the Worst,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
The Shoji Tabuchi Show,Wheel of the Worst,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
"Looking Great, Feeling Great",Wheel of the Worst,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Supergirl,X,https://www.myfilmfriend.com/movies/0bdb31c3-6f62-493e-b6bb-1e50fc3b0a8b,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Captain America,X,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
The Fantastic Four,X,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Ninja III: The Domination,Ninja Movies,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Ninja Warriors,Ninja Movies,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Lethal Ninja,Ninja Movies,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
Fred Levine's Cleared for Takeoff,Wheel of the Worst,,https://pluto.tv/on-demand/movies/yor-hunter-from-the-future-2019-1-1?utm_medium=deeplink&utm_source=justwatch,https://publicdomainmovie.net/movie/santa-claus-versus-the-devil
